,Date,Open,High,Low,Close,Adj Close,Volume,Ticker,pct_change,cumulative return,moving_avg_7D,moving_avg_30D
6036,2020-01-02,206.75,209.7899932861328,206.2700042724609,209.77999877929688,208.9817047119141,12077100, META,,1.0,,
0,2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.79601287841797,135480400,AAPL,,1.0,,
3018,2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,94.90049743652344,80580000,AMZN,,1.0,,
2012,2020-01-02,67.42050170898438,68.43399810791016,67.32450103759766,68.43399810791016,68.18682098388672,27278000,GOOGL,,1.0,,
1006,2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,153.63070678710938,22622100,MSFT,,1.0,,
5030,2020-01-02,53.27000045776367,53.959999084472656,53.22999954223633,53.95000076293945,49.82101821899414,13899600,ORCL,,1.0,,
4024,2020-01-02,28.299999237060547,28.71333312988281,28.11400032043457,28.68400001525879,28.68400001525879,142981500,TSLA,,1.0,,
6037,2020-01-03,207.2100067138672,210.3999938964844,206.9499969482422,208.6699981689453,207.8759307861328,11188400, META,-0.5291260448139101,0.9947087395518609,,
1,2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.08831024169922,146322800,AAPL,-0.972203551987938,0.9902779644801206,,
3019,2020-01-03,93.2249984741211,94.30999755859376,93.2249984741211,93.74849700927734,93.74849700927734,75288000,AMZN,-1.2139034655920922,0.9878609653440791,,
2013,2020-01-03,67.4000015258789,68.6875,67.36599731445312,68.07599639892578,67.83010864257812,23408000,GOOGL,-0.5231342883399326,0.9947686571166007,,
1007,2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,151.7176971435547,21116200,MSFT,-1.2451749849331062,0.9875482501506689,,
5031,2020-01-03,52.9900016784668,54.04999923706055,52.95000076293945,53.7599983215332,49.64555740356445,11026700,ORCL,-0.3521824628717529,0.9964781753712825,,
4025,2020-01-03,29.36666679382324,30.26666641235352,29.12800025939941,29.53400039672852,29.53400039672852,266677500,TSLA,2.963325829792085,1.0296332582979209,,
6038,2020-01-06,206.6999969482422,212.77999877929688,206.5200042724609,212.6000061035156,211.79098510742188,17058900, META,1.8833603148778577,1.0134426892012025,,
2,2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.6627197265625,118387200,AAPL,0.7968245219206693,0.9981687421362752,,
3020,2020-01-06,93.0,95.18450164794922,93.0,95.1439971923828,95.1439971923828,81236000,AMZN,1.488557393050649,1.0025658427767699,,
2014,2020-01-06,67.58149719238281,69.91600036621094,67.55000305175781,69.8905029296875,69.63805389404297,46768000,GOOGL,2.6654131070351195,1.0212833512880637,,
1008,2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,152.10987854003906,20813700,MSFT,0.2584817013810081,0.9901008816696167,,
5032,2020-01-06,53.36000061035156,54.20000076293945,53.34999847412109,54.040000915527344,49.90413665771485,10982400,ORCL,0.5208381747325852,1.0016682141114948,,
4026,2020-01-06,29.36466789245605,30.10400009155273,29.333332061767575,30.1026668548584,30.1026668548584,151995000,TSLA,1.925463704513497,1.049458472976047,,
6039,2020-01-07,212.82000732421875,214.5800018310547,211.75,213.05999755859372,212.2492218017578,14912400, META,0.21636474217887613,1.0156354218628232,,
3,2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.32099151611328,108872000,AAPL,-0.47030460371630944,0.9934743085891511,,
3021,2020-01-07,95.2249984741211,95.69450378417967,94.60199737548828,95.34300231933594,95.34300231933594,80898000,AMZN,0.20916204156395946,1.0046628299615445,,
2015,2020-01-07,70.02300262451172,70.17500305175781,69.5780029296875,69.75550079345703,69.50354766845703,34330000,GOOGL,-0.19316234763153695,1.0193106163907457,,
1009,2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,150.72299194335938,21634100,MSFT,-0.9117757400316062,0.9810733820287141,,
5033,2020-01-07,53.88999938964844,54.33000183105469,53.61000061035156,54.15999984741211,50.014949798583984,12015400,ORCL,0.2220557547220281,1.0038924760241508,,
4027,2020-01-07,30.76000022888184,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,TSLA,3.880052465815398,1.0901780123344627,,
6040,2020-01-08,213.0,216.2400054931641,212.6100006103516,215.22000122070312,214.4010162353516,13475000, META,1.0138006603118255,1.0259319404760294,,
4,2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.48435974121094,132079200,AAPL,1.6086288271489613,1.009455622707435,,
3022,2020-01-08,94.9020004272461,95.5500030517578,94.3219985961914,94.59850311279295,94.59850311279295,70160000,AMZN,-0.7808640261289468,0.9968177793384858,,
2016,2020-01-08,69.74099731445312,70.59249877929688,69.63150024414062,70.25199890136719,69.99824523925781,35314000,GOOGL,0.7117691110558599,1.0265657545039282,,
1010,2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,153.12374877929688,27746500,MSFT,1.59283822672307,0.9967002938898722,,
5034,2020-01-08,53.93999862670898,54.59999847412109,53.70000076293945,54.130001068115234,50.209739685058594,11856700,ORCL,-0.05538917906461327,1.0033364282229895,,
4028,2020-01-08,31.57999992370605,33.232666015625,31.215333938598636,32.80933380126953,32.80933380126953,467164500,TSLA,4.920482578812169,1.1438200315094207,,
6041,2020-01-09,217.5399932861328,218.3800048828125,216.27999877929688,218.3000030517578,217.46929931640625,12642800, META,1.431094607185801,1.0406139971495785,,
5,2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.04523468017578,170108400,AAPL,2.1240813976545425,1.0308972818069413,,
3023,2020-01-09,95.49449920654295,95.89099884033205,94.79000091552734,95.05249786376952,95.05249786376952,63346000,AMZN,0.47991747864684076,1.0016016820917903,,
2017,2020-01-09,71.09649658203125,71.43399810791016,70.510498046875,70.989501953125,70.73308563232422,33200000,GOOGL,1.0497965371679463,1.0373426062464624,,
1011,2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,155.03672790527344,21385000,MSFT,1.2492972988635387,1.0091520437392034,,
5035,2020-01-09,54.25,54.79999923706055,54.02999877929688,54.380001068115234,50.441627502441406,10671000,ORCL,0.46185109009218017,1.0079703484540294,,
4029,2020-01-09,33.13999938964844,33.25333404541016,31.524667739868164,32.089332580566406,32.089332580566406,426606000,TSLA,-2.1945011900097344,1.1187188873063767,,
6042,2020-01-10,219.1999969482422,219.8800048828125,217.4199981689453,218.05999755859372,217.23019409179688,12119400, META,-0.10994296372373036,1.0394699152801883,213.67000034877233,
6,2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.21487426757812,140644800,AAPL,0.22607036734636488,1.033227835078886,75.68285696847099,
3024,2020-01-10,95.26850128173828,95.34700012207033,94.0,94.15799713134766,94.15799713134766,57074000,AMZN,-0.9410596802031157,0.9921760125053883,94.70642743791852,
2018,2020-01-10,71.47350311279297,71.74700164794922,70.9800033569336,71.447998046875,71.18992614746094,26258000,GOOGL,0.645864643553562,1.0440424353727253,69.83507101876395,
1012,2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,154.31936645507812,20725900,MSFT,-0.46270591458128507,1.004482637545704,159.90999712262834,
